author
Both Humans and By Computers
William Shakespeare
Unknown
Pope Boniface VIII
Bruce Sterling
Dante Alighieri
Francis Parkman
David Price
CURRER BELL
Mark Twain
Amy Lowell
Vachel Lindsay
Henry David Thoreau
Robert Louis Stevenson and Lloyd Osbourne
Benjamin Count of Rumford
Zane Grey
AKA Charlotte Bronte Currer Bell
Jack London
Jules Verne
Shanti Day and Roger Frank
Wilfred Owen
Edwin Arlington Robinson
Henry Lawson
David Livingstone
Al Haines
GEORGE MEREDITH
Dianne Bean
Henry van Dyke
Martha Summerhayes
Jane Austen
Ron Burkey
Judy Boss
Scott and Jamieson
Edgar Rice Burroughs
Charles Keller
Levent Kurnaz and Jose Menendez
Edgar Allan Poe
Glen Bledsoe
EMILE ZOLA
Thomas Hardy
Ernest Bramah
Laurence Sterne
Sir Arthur Conan Doyle
Nikolai Vasilievich Gogol
Charles Hall challtotalsports
Ron Burkey rburkeyheads
Ernest Thompson Seton
An Anonymous Volunteer
Christopher Marlowe
George Bernard Shaw
Booth Tarkington
Stewart Edward White
Lewis Carroll
Common voyce
Gene Stratton
Don Pedro
Richard McGowan
Frances Hodgson Burnett
Donald Lainson
JOSEPH CONRAD
Henry James
Anthony Hope
Henry Fielding
An Unknown Author
THE AUTHOR
Agatha Christie
Upton Sinclair
Sax Rohmer
Anna Katharine Green
Sara Jeanette Duncan
John Bickers
Ludwig van Beethoven
Alexandre Dumas
Honore De Balzac
Thomas Alexander Browne
Bertram Stevens
Robert Louis Stevenson
Motteux have been restored from
LYSANDER SPOONER
Judy Boss and David Widger
Mark Rehorst
Lafcadio Hearn
Robert Herrick
Mary Roberts Rinehart
Kate Douglas Wiggin
George Meredith
Dave Emme
Kirk Pearson
Edwin Mims American Southern
Charles Keller with OmniPage Professional OCR software
Charles Darwin
MEANS OF NATURAL SELECTION
Morgan Callaway American Southern
John Bickers and Dagny
Nicolo Machiavelli
Noah Brooks
James Thomson
Bruce Metcalf of Chattanooga
Virginia Woolf
Charles Keller and David Widger
Ayn Rand
Thomas Malory
Gustave Flaubert
Edmond Rostand
Sue Asscher
Charlotte Bront
Bill Brewer
Edith Wharton
An Anonymous Volunteer and David Widger
Myrtle Reed
Robert Nemiroff and Jerry Bonnell
John Masefield
Robert Burns
Edgar Lee Masters
Victor Appleton
Andy Foger
Ellis Parker Butler
Charles And Mary Lamb
Edgar Alfred Bowring
Kenneth Grahame
Owen Wister
Martin Ward and compared against
THOMAS CARLYLE
Hall Caine
HONORE DE BALZAC
Max Beerbohm
JOHN BUNYAN
FLOOD AND FIELD
Joseph Conrad
Walt Whitman
Joseph Gallanar
JANE ADDAMS
Elizabeth Von Arnim
David Lindsay
Harold Frederic
Helen Bannerman
MARY WOLLSTONECRAFT
Tom Weiss
Karl Marx
Margaret Hill McCarter
Donald Mackenzie Wallace
